ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,NightsperWINDOW,NumofWINDOW,OBSperiod,WINDOWwidth,dataLOSSfrac
1000.0,21985.0,31663.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1001.0,21985.0,31663.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1002.0,42740.0,40441.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1003.0,42740.0,40441.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1004.0,24886.0,53940.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1005.0,24886.0,53940.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1006.0,65866.0,62373.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1007.0,65866.0,62373.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1008.0,73927.0,23858.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1009.0,73927.0,23858.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1010.0,9418.0,11645.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1011.0,9418.0,11645.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1012.0,61651.0,24509.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1013.0,61651.0,24509.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1014.0,8939.0,67036.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1015.0,8939.0,67036.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1016.0,50946.0,76304.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1017.0,50946.0,76304.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
