ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,NightsperWINDOW,NumofWINDOW,OBSperiod,WINDOWwidth,dataLOSSfrac,DRW_log_Z_mean,DRWsine_log_Z_mean,CARMA21_log_Z_mean,DRW_bf,DRWsine_bf,CARMA21sine_log_Z_mean,OBPL10_log_Z_mean,OBPLsine10_log_Z_mean,OBPL10_bf,OBPLsine10_bf
1032.0,3585.0,57230.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1033.0,31964.0,89569.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,217.4471443538089,213.04449207911725,217.68968947195341,0.9935306767277516,0.9169099415185321,216.04093390532776,219.280176144272,216.5827589481331,0.9160125745522092,2.7401185948054128
1034.0,11424.0,39463.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,258.2443854740854,253.20048386651962,261.66884855635396,0.4786473693028764,0.45750175070832827,256.16286614087426,263.65687268721297,258.04530919805995,2.8837997391995662,3.894934639436805
1035.0,82653.0,46459.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,240.67949124024034,236.33889764176578,243.41167843454758,0.7568837977211026,0.6453607793322247,239.05627792663913,245.2518527016673,240.16283443247855,1.7167530222350038,4.65437587878779
1036.0,86651.0,95344.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,241.7173500253105,237.44217239001244,243.2850099350207,0.8541827771355411,0.7828204359451166,238.60446843020452,245.1696646219896,240.18801344455417,0.9479476668398296,1.3275273786487638
1037.0,73047.0,22332.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,251.6621155702746,247.49208080087675,253.05072953288845,0.5184397203613839,0.4700540328033627,250.40600716952113,253.38533505973865,249.73212312794465,0.9024315469054196,2.2325646060533866
1038.0,18598.0,55402.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,250.8670932918623,246.44855450161003,250.30269455004566,0.6808097723310892,0.569715633125131,247.29438910935758,250.66405500148596,247.288397049352,1.1142009690405794,1.9361504562636516
1039.0,98909.0,82486.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,243.7067772854821,239.56252037503404,244.21601020743884,0.7376532105146333,0.655026617892287,240.7101599765229,244.5585060988054,242.24416526333107,0.8274776557583688,1.4871068579830102
1040.0,84934.0,5181.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,225.67470600138736,221.60700861713073,227.78069909443036,1.1566006332208014,0.956148237618077,223.2167380763114,228.83453256058834,223.68394210578785,4.587869674230964,4.21596703178857
1041.0,43170.0,53171.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,245.41915669969964,240.6262681718687,246.3624011957311,0.6746320097008723,0.5740572001629151,241.98496805588206,246.47761138997896,242.4110306461804,1.3034206967924409,1.962247695767141
1042.0,4315.0,17102.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,230.47345628807113,226.4209885303901,231.87093497019492,1.0489670089734096,0.8392576709340491,227.74299202721355,232.43423882951978,227.78863566479527,1.031560313302968,1.3074062964490505
1043.0,32859.0,21441.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,258.644777116898,254.38573145297562,260.1726506536387,0.7228415483785499,0.6553954679070148,256.54380019805717,261.6384466791295,257.4231814603651,2.298867580808522,2.6258846055610103
1044.0,90733.0,83148.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,229.44282978010017,225.7479689194712,230.31172208133216,1.2451440977764157,1.1009630820055194,229.12337176859515,230.72658497212726,228.77717693699893,1.0897396370654426,6.040472316981353
1045.0,49734.0,53260.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1046.0,68271.0,4670.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,213.4315867280722,209.987728567203,212.40246755303644,1.1666280169968608,0.9723525408869796,211.38477508357113,212.0863870535514,211.81643077115518,0.4946082762331974,1.8573739991306253
1047.0,34810.0,76269.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,220.7636242634909,216.83141973003956,223.27307476512024,1.4314673995525997,1.0318219400540773,219.3057406647814,224.7541975397082,220.59621899756192,3.430984335553518,2.498424233705168
1048.0,77909.0,79412.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,227.64774791766035,223.4492394190043,228.56142980261907,0.8544787073922,0.6223208184920046,225.25311367395153,231.07379979051956,226.32414085702646,1.7929833062800806,5.220058847165305
1049.0,11513.0,61484.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,233.314868938179,229.21561617369161,236.18675545221816,1.0414029487155263,0.7494399825986396,232.12654667092085,238.9499258615077,234.7239385366939,6.555054392647929,4.895939657092033
1050.0,61570.0,96849.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051.0,87324.0,29771.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,236.12112090248456,231.76833610723023,236.92789946141207,0.8445870450447498,0.7000010682376622,232.52470143454775,239.81373174979223,235.31357530207436,3.1742795657428764,4.690122556621268
1052.0,9786.0,35153.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,246.0068163489024,240.90113126560684,249.17932820256956,0.5624200552324552,0.5019118178926473,244.1869612354066,249.4733961075301,244.06666465676224,1.1592338308100316,1.4115001898643882
1053.0,65697.0,35516.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,254.0684387419444,250.1769516285831,256.05116351889313,0.3959291526761689,0.3723928286620829,251.89017149202633,258.34620871959373,253.80732407830322,0.9925299942265273,1.0997960344121527
1054.0,5782.0,14076.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,247.44685972832056,242.9703051305626,249.5462103450184,0.4724379486379348,0.43470377724649156,244.62508625941507,249.97723203663253,245.2977990640631,0.9313425577096136,2.9610423220069104
1055.0,9081.0,67444.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,238.27016119301962,233.67638447786993,238.81367080188943,0.618008533183202,0.5680550999330644,235.20066399159285,240.4413256706726,236.15031299855997,2.032821521692448,4.79423308645533
1056.0,87090.0,67171.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,257.2241941126783,252.72629724929624,259.7521266508696,0.53707061695103,0.4951592737570094,255.00063343323757,260.8582012006056,256.00791140211595,1.0933987596908528,2.0917675778493163
1057.0,21928.0,21307.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,249.49282238524205,245.41819542102098,248.885369152766,0.6880273606628107,0.5920614393924919,245.91088778849527,248.56781155326212,245.7220290154414,0.6526979641525887,1.0701656946187246
1058.0,4371.0,19557.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,237.9687887131377,233.5415183320694,238.68269759256782,0.9476448882594674,0.7344652381233928,234.79831650398188,239.41395820826978,235.095755639524,1.4562932784436706,1.4260537370577606
1059.0,23141.0,97413.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,234.3033863099421,229.85520318484242,236.63401413449733,0.8054007925708766,0.7062544189636532,232.878118532014,236.24551042876953,232.40913585656563,3.3333720375560567,3.3127801059897557
1060.0,90211.0,36757.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,235.50042548096076,230.92827800366405,238.90428441715008,1.3643333658237966,1.0757565116501029,234.6777468187991,239.77536957801055,234.63525805313728,1.927619035239062,2.361181398260686
1061.0,52797.0,12243.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,253.92180601098747,249.81812072794554,255.0966008761906,0.4608372580850946,0.4500435814525487,252.2971196767271,255.57815459397483,253.65749275733646,1.0626480381817465,5.8759299610758635
1062.0,92800.0,80617.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,244.9472325154292,240.47086441753,248.4646126778169,0.7599723002207117,0.6853127536173695,247.08763999555447,252.01497983554881,249.0142377357044,4.382261232098643,15.638392821798899
1063.0,31352.0,77932.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,220.51818081997797,216.76520650754622,223.55926654998032,1.174507694339089,0.947009097400292,218.8856306573783,224.83858925575433,219.73443039377437,3.8673086823048295,4.4718110041226105
