ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,period,A1,NightsperWINDOW,OBSperiod,WINDOWwidth,dataLOSSfrac,NumofWINDOW,DRW_log_Z_mean,DRWsine_log_Z_mean,CARMA21_log_Z_mean,CARMA21sine_log_Z_mean,OBPL10_log_Z_mean,OBPLsine10_log_Z_mean,DRW_bf,DRWsine_bf,OBPL10_bf,OBPLsine10_bf
1000.0,90926.0,16330.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.015,20,3,30,0.2,12,457.7951199997524,453.3789628854588,457.2090339431837,452.93165706856104,457.6920105480118,453.9138334564027,0,0,0,0
1001.0,90926.0,16330.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.072,20,3,30,0.2,12,455.5653424797512,450.7255645343172,454.9160722810157,451.27540850662945,456.109246013306,452.3411257789571,0,0,0,0
1002.0,90926.0,16330.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.129,20,3,30,0.2,12,452.71862937556625,448.15033451671775,452.4206426827299,447.97245802313137,453.81628381544107,449.54804721883704,0,0,0,0
1003.0,90926.0,16330.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.186,20,3,30,0.2,12,449.31443499912785,444.831872482317,449.68185843399414,446.07284567148287,451.6162724397815,447.74563009943506,0,0,0,0
1004.0,90926.0,16330.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.243,20,3,30,0.2,12,445.901751680151,443.7359399870808,446.832377529398,443.46703383101254,449.3722615645091,445.305150961097,0,0,0,0
1005.0,90926.0,16330.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.3,20,3,30,0.2,12,442.0710240196624,443.8287278945809,444.063023245725,443.453084271543,446.8585702867263,444.02064394999235,0,0,0,0
1006.0,55112.0,50245.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.015,20,3,30,0.2,12,479.026452767951,479.0786145799282,483.40229497027246,479.47200875398926,478.65230203630244,479.6328829469755,0,0,0,0
1007.0,55112.0,50245.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.072,20,3,30,0.2,12,477.92255501224946,476.79088980696287,481.0467111498008,477.6739435127987,476.88219226931614,477.39928405297206,0,0,0,0
1008.0,55112.0,50245.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.129,20,3,30,0.2,12,475.62250842579755,474.22019809338707,476.9246584810022,473.5898279060195,474.4802272880055,474.1609959089809,0,0,0,0
1009.0,55112.0,50245.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.186,20,3,30,0.2,12,472.06209612130715,470.37243175063617,473.0355720302647,469.896130947537,471.81932119913193,470.79977086115923,0,0,0,0
1010.0,55112.0,50245.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.243,20,3,30,0.2,12,467.88963021043946,465.3168498231234,469.1547597784003,465.0791539238915,469.02241298835344,466.94100926706005,0,0,0,0
