ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,NightsperWINDOW,NumofWINDOW,dataLOSSfrac,OBSperiod,WINDOWwidth
1044.0,30048.0,12065.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,7
1045.0,22330.0,89797.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,14
1046.0,51230.0,91837.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,21
1047.0,65807.0,3604.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,28
1048.0,62502.0,31153.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,35
1049.0,86766.0,11351.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,42
1050.0,92908.0,30331.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,49
1051.0,82006.0,25471.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,56
1052.0,99798.0,82519.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,63
1053.0,9776.0,44269.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.75,70
1054.0,67819.0,45518.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,7
1055.0,50917.0,77369.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,14
1056.0,30349.0,48622.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,21
1057.0,79704.0,19175.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,28
1058.0,88368.0,33829.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,35
1059.0,84383.0,11791.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,42
1060.0,4756.0,67738.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,49
1061.0,45288.0,94968.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,56
1062.0,16537.0,67408.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,63
1063.0,18839.0,93585.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,70
1064.0,70226.0,42117.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.0,77
1065.0,1431.0,43785.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,7
1066.0,19327.0,98048.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,14
1067.0,17178.0,44030.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,21
1068.0,57088.0,60752.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,28
1069.0,13220.0,24249.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,35
1070.0,18789.0,64273.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,42
1071.0,58707.0,87000.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,49
1072.0,76513.0,35204.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,56
1073.0,65709.0,81452.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,63
1074.0,45926.0,69071.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,70
1075.0,37397.0,58472.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,77
1076.0,88261.0,88251.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.25,84
1077.0,13210.0,2623.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,7
